q,v,qs,i_q,i_st,i_off,profit
"[0.0, 0.0, 0.0, 0.0]",3879.29,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-30000.0
"[0.0, 0.0, 0.0, 0.0]",3879.43,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-27000.0
"[0.0, 0.0, 0.0, 0.0]",3879.59,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-24000.0
"[0.0, 0.0, 0.0, 0.0]",3879.79,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3879.81,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-54000.0
"[0.0, 297.6, 0.0, 297.6]",3879.84,0.0,"[0.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",82359.95
"[0.0, 0.0, 0.0, 0.0]",3879.86,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0]",-67502.0
"[0.0, 0.0, 0.0, 0.0]",3880.09,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3880.3,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[297.6, 297.6, 297.6, 297.6]",3876.23,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",239719.9
"[297.6, 297.6, 297.6, 297.6]",3872.14,0.0,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",249729.02
"[0.0, 0.0, 0.0, 0.0]",3874.03,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",-69004.0
"[0.0, 0.0, 0.0, 0.0]",3874.22,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-66000.0
"[0.0, 0.0, 0.0, 0.0]",3874.4,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-63000.0
"[0.0, 0.0, 0.0, 0.0]",3874.42,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-60000.0
"[0.0, 0.0, 0.0, 0.0]",3874.55,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3874.56,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-46500.0
"[0.0, 0.0, 0.0, 0.0]",3874.66,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-48000.0
"[0.0, 0.0, 0.0, 0.0]",3875.65,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.74,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.74,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-42000.0
"[0.0, 0.0, 0.0, 0.0]",3875.75,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-39000.0
"[0.0, 0.0, 0.0, 0.0]",3876.92,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-36000.0
"[0.0, 0.0, 0.0, 0.0]",3877.04,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-33000.0
"[0.0, 0.0, 0.0, 0.0]",3878.25,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-30000.0
"[0.0, 0.0, 0.0, 0.0]",3878.39,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-27000.0
"[0.0, 0.0, 0.0, 0.0]",3878.55,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-24000.0
"[0.0, 0.0, 0.0, 0.0]",3878.75,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3878.77,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-54000.0
"[60.19999999984111, 0.0, 0.0, 297.6]",3879.65,0.0,"[1.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",19594.95
"[0.0, 0.0, 0.0, 0.0]",3879.67,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0]",-67502.0
"[0.0, 0.0, 0.0, 0.0]",3879.91,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3880.12,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[297.6, 297.6, 297.6, 297.6]",3876.04,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",239719.9
"[297.6, 297.6, 297.6, 297.6]",3871.95,0.0,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",249729.02
"[0.0, 0.0, 0.0, 0.0]",3873.84,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",-69004.0
"[0.0, 0.0, 0.0, 0.0]",3874.03,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-66000.0
"[0.0, 0.0, 0.0, 0.0]",3874.22,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-63000.0
"[0.0, 0.0, 0.0, 0.0]",3874.23,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-60000.0
"[0.0, 0.0, 0.0, 0.0]",3874.36,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3874.37,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-46500.0
"[0.0, 0.0, 0.0, 0.0]",3874.47,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-48000.0
"[0.0, 0.0, 0.0, 0.0]",3875.46,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.55,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.56,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-42000.0
"[0.0, 0.0, 0.0, 0.0]",3875.57,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-39000.0
"[0.0, 0.0, 0.0, 0.0]",3876.74,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-36000.0
"[0.0, 0.0, 0.0, 0.0]",3876.86,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-33000.0
"[0.0, 0.0, 0.0, 0.0]",3878.06,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-30000.0
"[0.0, 0.0, 0.0, 0.0]",3878.2,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-27000.0
"[0.0, 0.0, 0.0, 0.0]",3878.36,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-24000.0
"[0.0, 0.0, 0.0, 0.0]",3878.56,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3878.58,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-54000.0
"[297.6, 0.0, 0.0, 0.0]",3879.68,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",3679.98
"[0.0, 0.0, 0.0, 0.0]",3879.7,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]",-67501.0
"[0.0, 0.0, 0.0, 0.0]",3879.94,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3880.15,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[297.6, 297.6, 297.6, 297.6]",3876.07,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",239719.9
"[297.6, 297.6, 297.6, 297.6]",3871.99,0.0,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",249729.02
"[0.0, 0.0, 0.0, 0.0]",3873.88,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",-69004.0
"[0.0, 0.0, 0.0, 0.0]",3874.06,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-66000.0
"[0.0, 0.0, 0.0, 0.0]",3874.25,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-63000.0
"[0.0, 0.0, 0.0, 0.0]",3874.26,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-60000.0
"[0.0, 0.0, 0.0, 0.0]",3874.39,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3874.4,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-46500.0
"[0.0, 0.0, 0.0, 0.0]",3874.5,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-48000.0
"[0.0, 0.0, 0.0, 0.0]",3875.49,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.58,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.59,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-42000.0
"[0.0, 0.0, 0.0, 0.0]",3875.6,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-39000.0
"[0.0, 0.0, 0.0, 0.0]",3876.77,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-36000.0
"[0.0, 0.0, 0.0, 0.0]",3876.89,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-33000.0
"[0.0, 0.0, 0.0, 0.0]",3878.09,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-30000.0
"[0.0, 0.0, 0.0, 0.0]",3878.23,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-27000.0
"[0.0, 0.0, 0.0, 0.0]",3878.39,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-24000.0
"[0.0, 0.0, 0.0, 0.0]",3878.59,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3878.61,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-54000.0
"[297.6, 0.0, 0.0, 0.0]",3879.71,0.0,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",3679.98
"[0.0, 0.0, 0.0, 0.0]",3879.73,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]",-67501.0
"[0.0, 0.0, 0.0, 0.0]",3879.97,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3880.18,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[297.6, 297.6, 297.6, 297.6]",3876.1,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",239719.9
"[297.6, 297.6, 297.6, 297.6]",3872.02,0.0,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",249729.02
"[0.0, 0.0, 0.0, 0.0]",3873.91,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",-69004.0
"[0.0, 0.0, 0.0, 0.0]",3874.09,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-66000.0
"[0.0, 0.0, 0.0, 0.0]",3874.28,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-63000.0
"[0.0, 0.0, 0.0, 0.0]",3874.3,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-60000.0
"[0.0, 0.0, 0.0, 0.0]",3874.42,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3874.43,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-46500.0
"[0.0, 0.0, 0.0, 0.0]",3874.53,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-48000.0
"[0.0, 0.0, 0.0, 0.0]",3875.52,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.61,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3875.62,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-42000.0
"[0.0, 0.0, 0.0, 0.0]",3875.63,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-39000.0
"[0.0, 0.0, 0.0, 0.0]",3876.8,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-36000.0
"[0.0, 0.0, 0.0, 0.0]",3876.92,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-33000.0
"[0.0, 0.0, 0.0, 0.0]",3878.13,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-30000.0
"[0.0, 0.0, 0.0, 0.0]",3878.26,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-27000.0
"[0.0, 0.0, 0.0, 0.0]",3878.42,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-24000.0
"[0.0, 0.0, 0.0, 0.0]",3878.62,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3878.64,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-54000.0
"[0.0, 0.0, 0.0, 0.0]",3880.81,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-75000.0
"[0.0, 0.0, 0.0, 0.0]",3880.84,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3881.07,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3881.28,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[297.6, 297.6, 297.6, 297.6]",3877.21,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",239719.9
"[297.6, 297.6, 297.6, 297.6]",3873.12,0.0,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",249729.02
